time	WindVelX
872.0	15.121
873.0	13.357
874.0	12.794
875.0	13.652
876.0	14.846
877.0	14.241
878.0	14.185
879.0	13.925
880.0	13.16
881.0	15.933
882.0	14.472
883.0	14.478
884.0	12.917
885.0	13.416
886.0	12.448
887.0	12.084
888.0	11.898
889.0	11.587
890.0	12.251
891.0	12.08
892.0	13.153
893.0	13.2
894.0	13.606
895.0	13.237
896.0	12.894
897.0	13.265
898.0	11.932
899.0	15.244
900.0	14.844
901.0	14.361
902.0	15.016
903.0	13.535
904.0	12.26
905.0	11.708
906.0	10.581
907.0	12.29
908.0	12.939
909.0	12.505
910.0	14.226
911.0	12.565
912.0	12.926
913.0	13.304
914.0	13.643
915.0	11.792
916.0	12.528
917.0	12.569
918.0	10.618
919.0	10.328
920.0	10.78
921.0	10.705
922.0	12.097
923.0	12.071
924.0	11.886
925.0	9.369
926.0	8.572
927.0	8.995
928.0	10.829
929.0	9.298
930.0	7.651
931.0	7.034
932.0	7.71
933.0	7.797
934.0	7.238
935.0	7.86
936.0	7.775
937.0	7.368
938.0	6.769
939.0	8.45
940.0	10.043
941.0	9.482
942.0	10.952
943.0	9.378
944.0	9.953
945.0	10.113
946.0	9.266
947.0	8.51
948.0	9.991
949.0	8.899
950.0	8.483
951.0	8.622
952.0	11.021
953.0	8.46
954.0	8.794
955.0	8.941
956.0	8.938
957.0	9.468
958.0	8.744
959.0	10.302
960.0	9.568
961.0	10.615
962.0	10.86
963.0	9.741
964.0	10.28
965.0	9.72
966.0	11.052
967.0	11.789
968.0	11.827
969.0	13.077
970.0	14.455
971.0	13.961
972.0	12.03
973.0	10.906
974.0	8.603
975.0	8.415
976.0	9.825
977.0	10.635
978.0	10.171
979.0	9.552
980.0	10.652
981.0	11.431
982.0	12.414
983.0	11.394
984.0	11.576
985.0	12.778
986.0	12.685
987.0	13.466
988.0	14.026
989.0	13.704
990.0	13.195
991.0	13.783
992.0	12.897
993.0	11.682
994.0	11.568
995.0	13.233
996.0	11.753
997.0	10.723
998.0	11.919
999.0	11.157
1000.0	10.432
1001.0	9.646
1002.0	9.77
1003.0	11.138
1004.0	11.58
1005.0	11.462
1006.0	12.13
1007.0	10.518
1008.0	10.999
1009.0	9.874
