Time	RotTorq	YawBrFxp	YawBrFyp
23.05	660000.0	192100.0	-50340.0
23.1	642400.0	189200.0	-50960.0
23.15	608200.0	187700.0	-51430.0
23.2	574200.0	187300.0	-52000.0
23.25	556400.0	186800.0	-52540.0
23.3	563300.0	185200.0	-52720.0
23.35	592100.0	182400.0	-52270.0
23.4	629700.0	179600.0	-51150.0
23.45	658200.0	178100.0	-49590.0
23.5	665100.0	178000.0	-47680.0
23.55	648300.0	178300.0	-45230.0
23.6	616000.0	177900.0	-41960.0
23.65	582400.0	176100.0	-37730.0
23.7	562400.0	173900.0	-32740.000000000004
23.75	564700.0	172800.0	-27520.0
23.8	588700.0	173000.0	-22590.0
23.85	623300.0	173600.0	-18150.0
23.9	653200.0	173100.0	-13880.0
23.95	665300.0	171300.0	-9190.0
24.0	654300.0	169300.0	-3712.0
24.05	624600.0	168700.0	2352.0
24.1	589400.0	170500.0	8362.0
24.15	563500.0	173500.0	13600.0
24.2	558100.0	175900.0	17820.0
24.25	574500.0	176100.0	21350.0
24.3	604100.0	174700.0	24820.0
24.35	632900.0	173700.0	28730.0
24.4	647000.0	175100.0	33050.0
24.45	639400.0	178900.0	37280.0
24.5	613100.0	183600.0	40930.0
24.55	579700.0	187200.0	43800.0
24.6	553700.0	188400.0	46060.0
24.65	546600.0	187000.0	48000.0
24.7	560700.0	184800.0	49710.0
24.75	589000.0	183900.0	50950.0
24.8	618100.0	185300.0	51320.0
24.85	634100.0	188300.0	50590.0
24.9	628900.0	190600.0	48940.0
24.95	604900.0	190600.0	46910.0
25.0	573200.0	188300.0	45020.0
25.05	548200.0	185400.0	43290.0
25.1	540600.0	183900.0	41170.0
25.15	553300.0	184900.0	38030.0
25.2	579800.0	187500.0	33640.0
25.25	608000.0	189600.0	28480.0
25.3	625800.0	189900.0	23400.0
25.35	626000.0	188600.0	19070.0
25.4	608700.0	186700.0	15450.0
25.45	581700.0	185800.0	11820.0
25.5	557700.0	186300.0	7487.0
25.55	547400.0	187600.0	2114.0
25.6	556300.0	188300.0	-3899.0
25.65	580600.0	187900.0	-9840.0
25.7	609500.0	186300.0	-15220.0
25.75	629900.0	184600.0	-20070.0
25.8	633000.0	183800.0	-24760.0
25.85	618000.0	184000.0	-29630.0
25.9	592700.0	184200.0	-34580.0
25.95	569000.0	183200.0	-39190.0
26.0	559100.0	180900.0	-42930.0
26.05	567700.0	178500.0	-45680.0
26.1	590600.0	177300.0	-47840.0
26.15	617300.0	177500.0	-49910.0
26.2	636300.0	178400.0	-52050.0
26.25	640000.0	178700.0	-53890.0
26.3	627400.0	177900.0	-54810.0
26.35	605100.0	176200.0	-54430.0
26.4	584400.0	174800.0	-52940.0
26.45	575400.0	174200.0	-51080.0
26.5	582400.0	174400.0	-49570.0
26.55	601600.0	175100.0	-48600.0
26.6	624400.0	175800.0	-47640.0
26.65	639700.0	176500.0	-45870.0
26.7	639600.0	177000.0	-42770.0
26.75	623600.0	177600.0	-38390.0
26.8	598200.0	177700.0	-33420.0
26.85	574700.0	177200.0	-28550.0
26.9	562900.0	176300.0	-24070.0
26.95	567900.0	175800.0	-19680.0
27.0	587200.0	176000.0	-14800.0
27.05	611900.0	176800.0	-9155.0
27.1	630800.0	177900.0	-2963.0
27.15	635700.0	178600.0	3175.0
27.2	623900.0	178600.0	8712.0
27.25	599900.0	177900.0	13590.0
27.3	573700.0	177200.0	18200.0
27.35	557000.0	177000.0	23040.0
27.4	557000.0	177300.0	28110.0
27.45	572900.0	177900.0	32880.0
27.5	596700.0	178600.0	36690.0
27.55	616700.0	178900.0	39320.0
27.6	622900.0	179100.0	41230.0
27.65	612000.0	179300.0	43230.0
27.7	588600.0	179700.0	45840.0
27.75	563600.0	180300.0	48950.0
27.8	548300.0	180900.0	51710.0
27.85	548900.0	181400.0	53110.0
27.9	564300.0	181500.0	52760.0
27.95	587400.0	181600.0	51160.0
28.0	607600.0	181900.0	49290.0
28.05	615800.0	182400.0	47890.0
28.1	608300.0	182800.0	46900.0
28.15	589000.0	183400.0	45600.0
28.2	566400.0	184100.0	43070.0
28.25	550200.0	184900.0	38990.0
28.3	547700.0	186000.0	33870.0
28.35	560000.0	187400.0	28630.0
28.4	582000.0	189400.0	23940.0
28.45	603200.0	191500.0	19690.0
28.5	614000.0	193000.0	15260.0
28.55	610100.0	193500.0	10160.0
28.6	594200.0	193100.0	4349.0
28.65	574100.0	192700.0	-1583.0
28.7	559500.0	193100.0	-6963.0
28.75	556600.0	194000.0	-11610.0
28.8	566200.0	194600.0	-15920.0
28.85	584700.0	194200.0	-20540.0
28.9	604000.0	192300.0	-25840.0
28.95	616000.0	189200.0	-31550.0
29.0	615700.0	186200.0	-36870.0
29.05	604800.0	184400.0	-41050.0
29.1	589900.0	183800.0	-43950.0
29.15	578300.0	183600.0	-46140.0
29.2	574800.0	182800.0	-48440.0
